feature,importance
BURO_NEW_BURO_DAYS_CREDIT_DAYS_CREDIT_ENDDATE_DIFF_VAR,183.4
CLOSED_NEW_BURO_DAYS_CREDIT_DAYS_CREDIT_ENDDATE_DIFF_VAR,182.6
PREV_CC_PREV_MONTHS_BALANCE_MIN_MAX,182.2
PREV_CODE_REJECT_REASON_XAP_MEAN,181.2
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,180.8
PREV_POS_PREV_CNT_INSTALMENT_NUNIQUE_MEAN,180.2
NEW_NUM_DOCS,179.0
PREV_CHANNEL_TYPE_Contact center_MEAN,177.8
CLOSED_AMT_CREDIT_MAX_OVERDUE_MAX,177.6
ACTIVE_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_DEBT_RATIO_MEAN,177.0
BURO_DAYS_ENDDATE_FACT_MEAN,176.8
BURO_AMT_ANNUITY_MEAN,175.4
BURO_AMT_CREDIT_SUM_DEBT_SUM,175.4
APPROVED_HOUR_APPR_PROCESS_START_MAX,175.0
ACTIVE_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_RATIO_MIN,173.6
PREV_NEW_INSTAL_PREV_AMT_INSTALMENT_AND_PAYMENT_SUM_DIFF_MEAN,171.2
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,170.8
ACTIVE_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_DEBT_RATIO_MIN,170.0
BURO_CREDIT_TYPE_Microloan_MEAN,167.8
CLOSED_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_LIMIT_RATIO_MAX,167.4
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,167.2
CLOSED_DAYS_ENDDATE_FACT_MEAN,166.6
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,163.0
CCNEW_AMT_DRAWINGS_DIFF_W_PAYMENT_CURRENT_MIN,162.6
BURO_MONTHS_BALANCE_SIZE_MIN,161.4
NONLIVINGAREA_MEDI,160.8
PREV_NAME_PORTFOLIO_Cash_MEAN,159.6
POS_NAME_CONTRACT_STATUS_Signed_MEAN,159.2
FLAG_EMAIL,157.4
CCNEW_AMT_BALANCE_CREDIT_LIMIT_ACTUAL_RATIO_MAX,157.2
PREV_PRODUCT_COMBINATION_Cash_MEAN,153.6
BURO_NEW_BURO_DAYS_CREDIT_DAYS_CREDIT_ENDDATE_DIFF_MIN,153.6
ACTIVE_MONTHS_BALANCE_SIZE_MAX,152.0
COMMONAREA_AVG,151.2
CCCNT_DRAWINGS_ATM_CURRENT_MEAN,151.2
PREV_PRODUCT_COMBINATION_Card X-Sell_MEAN,151.0
CCNEW_AMT_DRAWINGS_RATIO_W_PAYMENT_CURRENT_MAX,150.8
AMT_REQ_CREDIT_BUREAU_WEEK,150.8
FLAG_WORK_PHONE,150.2
YEARS_BUILD_MEDI,149.6
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,148.6
COMMONAREA_MEDI,148.2
YEARS_BUILD_AVG,147.8
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,147.6
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,147.6
PREV_NEW_INSTAL_PREV_AMT_INSTALMENT_AND_PAYMENT_SUM_DIFF_SUM,146.4
CLOSED_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_ENDDATE_FACT_DIFF_MAX,144.4
ENTRANCES_AVG,144.2
CCNEW_AMT_DRAWINGS_DIFF_W_PAYMENT_CURRENT_MAX,143.4
ACTIVE_AMT_ANNUITY_MEAN,142.4
CLOSED_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_RATIO_MAX,142.0
CCCNT_DRAWINGS_CURRENT_VAR,139.0
BURO_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_LIMIT_RATIO_MEAN,138.8
